sample,time_s,sensor,accel_x_mps2,accel_y_mps2,accel_z_mps2,linear_accel_x_mps2,linear_accel_y_mps2,linear_accel_z_mps2,gyro_x_radps,gyro_y_radps,gyro_z_radps,gyro_x_dps,gyro_y_dps,gyro_z_dps,roll_deg,pitch_deg,yaw_deg,temp_c,diag_stat
281,5.620055899000022,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.635956908358628,5.646758914221217,5.666084145386227,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.0976641071896,35.16672557556533,-0.561958740099999,24.9,0xFFFF
282,5.640055410999992,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.635955975344964,5.6467587173862155,5.666085269614575,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.09767077545783,35.16671890729711,-0.5639586895000037,24.9,0xFFFF
283,5.660055293000028,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.635955056178585,5.6467585234722915,5.6660863771575976,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.0976773447587,35.166712337996266,-0.565958674000001,24.9,0xFFFF
284,5.680057490000024,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.635954123144815,5.646758326632564,5.666087501409895,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.0976840131695,35.166705669585426,-0.5679588937000007,24.9,0xFFFF
285,5.700055188000022,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.63595327072251,5.646758146799011,5.666088528529873,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.09769010544812,35.16669957730681,-0.5699586616000035,24.9,0xFFFF
286,5.720055811000009,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.635952393965739,5.646757961831461,5.666089584971363,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.09769637164516,35.16669331110976,-0.5719587313000036,24.9,0xFFFF
287,5.740055304000009,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.635951551500117,5.646757784098038,5.666090600093877,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.09770239276227,35.166687289992666,-0.5739586787999998,24.9,0xFFFF
288,5.7600552979999975,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.63595071902774,5.646757608472674,5.666091603174998,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.09770834245703,35.16668134029789,-0.5759586763000017,24.9,0xFFFF
289,5.780059290999986,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.635949847849347,5.646757424681355,5.666092652894513,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.09771456878389,35.166675113971024,-0.5779590775000033,24.9,0xFFFF
290,5.800056229000006,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.635949090325384,5.646757264867382,5.666093565666924,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.09771998282022,35.166669699934694,-0.5799587769000029,24.9,0xFFFF
291,5.820055593000006,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.635948316482774,5.6467571016105165,5.666094498102263,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.0977255134858,35.16666416926909,-0.5819587058000028,24.9,0xFFFF
292,5.8400553459999855,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.635947552001404,5.646756940328418,5.666095419257756,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.0977309772461,35.1666587055088,-0.5839586793000027,24.9,0xFFFF
293,5.8600552280000215,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.635946800533418,5.6467567817915825,5.666096324732795,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.0977363479992,35.166653334755715,-0.5859586694000032,24.9,0xFFFF
294,5.880057684999997,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.635946029321062,5.64675661908912,5.66609725399855,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.0977418598652,35.16664782288969,-0.5879589130999993,24.9,0xFFFF
295,5.900055456000018,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.635945337499476,5.646756473135565,5.666098087602994,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.09774680432392,35.166642878430984,-0.5899586903000003,24.9,0xFFFF
296,5.9200556719999895,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.635944625508469,5.64675632292673,5.666098945510327,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.09775189293342,35.16663778982146,-0.5919587154999991,24.9,0xFFFF
297,5.94005527600001,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.6359439368757345,5.646756177645652,5.666099775272241,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.09775681460079,35.16663286815412,-0.593958674200002,24.9,0xFFFF
298,5.960055232999991,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.635943256955877,5.646756034202602,5.666100594535575,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.09776167399679,35.16662800875813,-0.5959586698000013,24.9,0xFFFF
299,5.980055819000029,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.63594258224262,5.646755891857866,5.666101407525191,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.09776649618084,35.16662318657406,-0.5979587266000014,24.9,0xFFFF
