sample,time_s,sensor,message_type,yaw_deg,pitch_deg,roll_deg,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_time_s,gps_week,ins_status,latitude_deg,longitude_deg,altitude_m,vel_n_mps,vel_e_mps,vel_d_mps,raw_message
10,0.4000582159999908,vn200,VNINS,-80.21,-5.347,-1.102,,,,,,,,,,353.501257,0000,5080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000353.501257,0000,5080,-080.210,-005.347,-001.102,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*53"
11,0.44005718700003627,vn200,VNINS,-80.21,-5.348,-1.102,,,,,,,,,,353.526256,0000,F880,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000353.526256,0000,F880,-080.210,-005.348,-001.102,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*23"
12,0.48005710300003557,vn200,VNINS,-80.21,-5.348,-1.102,,,,,,,,,,353.551257,0000,F880,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000353.551257,0000,F880,-080.210,-005.348,-001.102,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*22"
13,0.5200557960000083,vn200,VNINS,-80.209,-5.348,-1.102,,,,,,,,,,353.576257,0000,3880,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000353.576257,0000,3880,-080.209,-005.348,-001.102,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*5A"
14,0.5600570830000038,vn200,VNINS,-80.21,-5.349,-1.102,,,,,,,,,,353.601257,0000,3880,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000353.601257,0000,3880,-080.210,-005.349,-001.102,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*50"
15,0.6000590360000047,vn200,VNINS,-80.209,-5.349,-1.103,,,,,,,,,,353.626256,0000,E080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000353.626256,0000,E080,-080.209,-005.349,-001.103,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*23"
16,0.6400574330000381,vn200,VNINS,-80.209,-5.349,-1.103,,,,,,,,,,353.651257,0000,E080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000353.651257,0000,E080,-080.209,-005.349,-001.103,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*22"
17,0.680058645000031,vn200,VNINS,-80.209,-5.35,-1.103,,,,,,,,,,353.676256,0000,1080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000353.676256,0000,1080,-080.209,-005.350,-001.103,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*5A"
18,0.7200564130000089,vn200,VNINS,-80.208,-5.351,-1.103,,,,,,,,,,353.701257,0000,1080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000353.701257,0000,1080,-080.208,-005.351,-001.103,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*5A"
19,0.7600654960000384,vn200,VNINS,-80.207,-5.351,-1.104,,,,,,,,,,353.726256,0000,A080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000353.726256,0000,A080,-080.207,-005.351,-001.104,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*26"
20,0.8000597630000357,vn200,VNINS,-80.208,-5.352,-1.104,,,,,,,,,,353.751257,0000,A080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000353.751257,0000,A080,-080.208,-005.352,-001.104,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*2B"
21,0.8400580310000123,vn200,VNINS,-80.209,-5.351,-1.104,,,,,,,,,,353.776259,0000,3880,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000353.776259,0000,3880,-080.209,-005.351,-001.104,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*58"
22,0.8800578910000354,vn200,VNINS,-80.21,-5.353,-1.104,,,,,,,,,,353.801257,0000,3880,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000353.801257,0000,3880,-080.210,-005.353,-001.104,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*53"
23,0.9200583250000136,vn200,VNINS,-80.21,-5.352,-1.104,,,,,,,,,,353.826256,0000,F080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000353.826256,0000,F080,-080.210,-005.352,-001.104,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*2B"
24,0.9600583890000394,vn200,VNINS,-80.21,-5.352,-1.104,,,,,,,,,,353.851257,0000,F080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000353.851257,0000,F080,-080.210,-005.352,-001.104,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*2A"
25,1.0000593420000428,vn200,VNINS,-80.211,-5.353,-1.104,,,,,,,,,,353.876256,0000,F080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000353.876256,0000,F080,-080.211,-005.353,-001.104,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*2E"
26,1.0400558510000337,vn200,VNINS,-80.21,-5.352,-1.104,,,,,,,,,,353.901257,0000,5880,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000353.901257,0000,5880,-080.210,-005.352,-001.104,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*55"
27,1.0800574700000425,vn200,VNINS,-80.21,-5.354,-1.103,,,,,,,,,,353.926256,0000,5880,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000353.926256,0000,5880,-080.210,-005.354,-001.103,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*50"
