sample,time_s,sensor,message_type,yaw_deg,pitch_deg,roll_deg,mag_x_gauss,mag_y_gauss,mag_z_gauss,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_radps,gyro_y_radps,gyro_z_radps,gps_time_s,gps_week,ins_status,latitude_deg,longitude_deg,altitude_m,vel_n_mps,vel_e_mps,vel_d_mps,raw_message
384,15.360055983001075,vn200,VNYMR,-83.464,6.624,0.082,0.0255,0.0538,0.2658,1.126,-0.021,-9.551,0.001267,-7.9e-05,1.7e-05,,,,,,,,,,"$VNYMR,-083.464,+006.624,+000.082,+00.0255,+00.0538,+00.2658,+01.126,-00.021,-09.551,+00.001267,-00.000079,+00.000017*6F"
385,15.400058385001103,vn200,VNYMR,-83.463,6.623,0.081,0.0255,0.0546,0.2629,1.121,0.013,-9.547,-0.000681,0.000272,3.2e-05,,,,,,,,,,"$VNYMR,-083.463,+006.623,+000.081,+00.0255,+00.0546,+00.2629,+01.121,+00.013,-09.547,-00.000681,+00.000272,+00.000032*67"
386,15.44005884300168,vn200,VNYMR,-83.464,6.623,0.08,0.0257,0.0538,0.2646,1.102,0.004,-9.525,-1.9e-05,-0.000156,0.000916,,,,,,,,,,"$VNYMR,-083.464,+006.623,+000.080,+00.0257,+00.0538,+00.2646,+01.102,+00.004,-09.525,-00.000019,-00.000156,+00.000916*6B"
387,15.480058801000268,vn200,VNYMR,-83.466,6.623,0.081,0.0262,0.0541,0.2631,1.108,-0.029,-9.516,-0.000124,-0.000608,-0.000305,,,,,,,,,,"$VNYMR,-083.466,+006.623,+000.081,+00.0262,+00.0541,+00.2631,+01.108,-00.029,-09.516,-00.000124,-00.000608,-00.000305*6E"
388,15.520057981000718,vn200,VNYMR,-83.468,6.623,0.08,0.0265,0.0536,0.2634,1.106,0.002,-9.519,-0.000504,0.001239,-0.001684,,,,,,,,,,"$VNYMR,-083.468,+006.623,+000.080,+00.0265,+00.0536,+00.2634,+01.106,+00.002,-09.519,-00.000504,+00.001239,-00.001684*67"
389,15.560057791000872,vn200,VNYMR,-83.468,6.623,0.081,0.0262,0.0538,0.2643,1.115,-0.028,-9.54,-0.000274,0.001297,-0.001318,,,,,,,,,,"$VNYMR,-083.468,+006.623,+000.081,+00.0262,+00.0538,+00.2643,+01.115,-00.028,-09.540,-00.000274,+00.001297,-00.001318*6B"
390,15.600056527000561,vn200,VNYMR,-83.468,6.623,0.079,0.0265,0.0538,0.2617,1.093,-0.017,-9.547,-0.000783,-0.000313,5e-05,,,,,,,,,,"$VNYMR,-083.468,+006.623,+000.079,+00.0265,+00.0538,+00.2617,+01.093,-00.017,-09.547,-00.000783,-00.000313,+00.000050*61"
391,15.640057670001625,vn200,VNYMR,-83.469,6.624,0.079,0.0255,0.0536,0.2636,1.135,0.008,-9.554,0.000711,0.000961,0.00043,,,,,,,,,,"$VNYMR,-083.469,+006.624,+000.079,+00.0255,+00.0536,+00.2636,+01.135,+00.008,-09.554,+00.000711,+00.000961,+00.000430*68"
392,15.680058387000827,vn200,VNYMR,-83.466,6.623,0.079,0.0257,0.0526,0.2631,1.108,-0.018,-9.536,0.000469,7e-05,0.000738,,,,,,,,,,"$VNYMR,-083.466,+006.623,+000.079,+00.0257,+00.0526,+00.2631,+01.108,-00.018,-09.536,+00.000469,+00.000070,+00.000738*67"
393,15.72005869700115,vn200,VNYMR,-83.466,6.624,0.079,0.0258,0.0541,0.2626,1.134,-0.005,-9.48,-0.000415,-0.000713,0.000952,,,,,,,,,,"$VNYMR,-083.466,+006.624,+000.079,+00.0258,+00.0541,+00.2626,+01.134,-00.005,-09.480,-00.000415,-00.000713,+00.000952*6C"
394,15.760058580000987,vn200,VNYMR,-83.468,6.623,0.079,0.0253,0.0533,0.2643,1.129,-0.009,-9.549,-0.000321,-0.001312,-0.000386,,,,,,,,,,"$VNYMR,-083.468,+006.623,+000.079,+00.0253,+00.0533,+00.2643,+01.129,-00.009,-09.549,-00.000321,-00.001312,-00.000386*6D"
395,15.800061945999914,vn200,VNYMR,-83.468,6.624,0.079,0.025,0.0541,0.2643,1.116,-0.0,-9.551,0.000127,0.000243,0.00075,,,,,,,,,,"$VNYMR,-083.468,+006.624,+000.079,+00.0250,+00.0541,+00.2643,+01.116,-00.000,-09.551,+00.000127,+00.000243,+00.000750*69"
396,15.840058107000004,vn200,VNYMR,-83.467,6.624,0.078,0.0253,0.0533,0.2629,1.113,-0.002,-9.54,-0.000222,-0.001339,0.000771,,,,,,,,,,"$VNYMR,-083.467,+006.624,+000.078,+00.0253,+00.0533,+00.2629,+01.113,-00.002,-09.540,-00.000222,-00.001339,+00.000771*62"
397,15.880056010000771,vn200,VNYMR,-83.467,6.623,0.077,0.0253,0.0546,0.2641,1.11,-0.02,-9.565,-0.000106,-8.1e-05,0.000336,,,,,,,,,,"$VNYMR,-083.467,+006.623,+000.077,+00.0253,+00.0546,+00.2641,+01.110,-00.020,-09.565,-00.000106,-00.000081,+00.000336*61"
398,15.920057134000672,vn200,VNYMR,-83.465,6.623,0.077,0.0258,0.0553,0.2636,1.095,-0.011,-9.527,-0.000871,7.7e-05,-0.00014,,,,,,,,,,"$VNYMR,-083.465,+006.623,+000.077,+00.0258,+00.0553,+00.2636,+01.095,-00.011,-09.527,-00.000871,+00.000077,-00.000140*67"
399,15.960056036999958,vn200,VNYMR,-83.465,6.622,0.077,0.0251,0.0536,0.2622,1.103,-0.006,-9.528,-0.00012,-0.002214,-0.000419,,,,,,,,,,"$VNYMR,-083.465,+006.622,+000.077,+00.0251,+00.0536,+00.2622,+01.103,-00.006,-09.528,-00.000120,-00.002214,-00.000419*69"
400,16.000055902000895,vn200,VNYMR,-83.466,6.62,0.077,0.0255,0.0536,0.2638,1.104,0.011,-9.545,-0.000434,-0.000568,0.000484,,,,,,,,,,"$VNYMR,-083.466,+006.620,+000.077,+00.0255,+00.0536,+00.2638,+01.104,+00.011,-09.545,-00.000434,-00.000568,+00.000484*67"
401,16.04006669299997,vn200,VNYMR,-83.467,6.618,0.076,0.0251,0.0548,0.2619,1.104,-0.029,-9.513,-0.000654,-0.001737,-0.001102,,,,,,,,,,"$VNYMR,-083.467,+006.618,+000.076,+00.0251,+00.0548,+00.2619,+01.104,-00.029,-09.513,-00.000654,-00.001737,-00.001102*6D"
402,16.08005792900076,vn200,VNYMR,-83.467,6.618,0.075,0.0265,0.0538,0.2629,1.086,0.012,-9.531,0.000214,-0.001235,-1.8e-05,,,,,,,,,,"$VNYMR,-083.467,+006.618,+000.075,+00.0265,+00.0538,+00.2629,+01.086,+00.012,-09.531,+00.000214,-00.001235,-00.000018*62"
403,16.120058720000088,vn200,VNYMR,-83.468,6.619,0.074,0.0255,0.0545,0.2624,1.112,-0.012,-9.533,0.000225,-0.00049,0.000212,,,,,,,,,,"$VNYMR,-083.468,+006.619,+000.074,+00.0255,+00.0545,+00.2624,+01.112,-00.012,-09.533,+00.000225,-00.000490,+00.000212*65"
404,16.16005556700111,vn200,VNYMR,-83.468,6.62,0.074,0.0251,0.0536,0.2615,1.137,-0.016,-9.531,-0.00031,0.000219,-0.000329,,,,,,,,,,"$VNYMR,-083.468,+006.620,+000.074,+00.0251,+00.0536,+00.2615,+01.137,-00.016,-09.531,-00.000310,+00.000219,-00.000329*63"
405,16.200057339001432,vn200,VNYMR,-83.47,6.62,0.075,0.0253,0.0524,0.2641,1.101,0.002,-9.497,0.001203,-0.000199,-0.000329,,,,,,,,,,"$VNYMR,-083.470,+006.620,+000.075,+00.0253,+00.0524,+00.2641,+01.101,+00.002,-09.497,+00.001203,-00.000199,-00.000329*69"
406,16.240055927000867,vn200,VNYMR,-83.471,6.618,0.073,0.0255,0.0533,0.2622,1.109,-0.004,-9.533,-0.000361,-0.000385,0.0009,,,,,,,,,,"$VNYMR,-083.471,+006.618,+000.073,+00.0255,+00.0533,+00.2622,+01.109,-00.004,-09.533,-00.000361,-00.000385,+00.000900*6D"
407,16.280056403000344,vn200,VNYMR,-83.47,6.618,0.073,0.026,0.0541,0.2631,1.128,-0.015,-9.513,0.000634,0.000682,-1.8e-05,,,,,,,,,,"$VNYMR,-083.470,+006.618,+000.073,+00.0260,+00.0541,+00.2631,+01.128,-00.015,-09.513,+00.000634,+00.000682,-00.000018*6D"
408,16.32005834300071,vn200,VNYMR,-83.471,6.619,0.072,0.026,0.0541,0.2636,1.097,0.001,-9.52,-0.000329,5e-06,4.6e-05,,,,,,,,,,"$VNYMR,-083.471,+006.619,+000.072,+00.0260,+00.0541,+00.2636,+01.097,+00.001,-09.520,-00.000329,+00.000005,+00.000046*66"
409,16.36005896700044,vn200,VNYMR,-83.471,6.618,0.073,0.026,0.0548,0.2641,1.109,-0.01,-9.537,0.00066,-0.000543,-0.000216,,,,,,,,,,"$VNYMR,-083.471,+006.618,+000.073,+00.0260,+00.0548,+00.2641,+01.109,-00.010,-09.537,+00.000660,-00.000543,-00.000216*67"
410,16.400058703000468,vn200,VNYMR,-83.473,6.618,0.073,0.0253,0.0545,0.2631,1.107,-0.01,-9.56,-0.000177,-0.000103,0.000299,,,,,,,,,,"$VNYMR,-083.473,+006.618,+000.073,+00.0253,+00.0545,+00.2631,+01.107,-00.010,-09.560,-00.000177,-00.000103,+00.000299*65"
411,16.440058383001087,vn200,VNYMR,-83.472,6.617,0.074,0.0253,0.0546,0.2653,1.11,-0.024,-9.564,0.000628,-0.000503,-0.000951,,,,,,,,,,"$VNYMR,-083.472,+006.617,+000.074,+00.0253,+00.0546,+00.2653,+01.110,-00.024,-09.564,+00.000628,-00.000503,-00.000951*68"
412,16.48005830400143,vn200,VNYMR,-83.473,6.616,0.073,0.0255,0.0543,0.2641,1.098,-0.006,-9.554,-0.000419,0.000283,0.000123,,,,,,,,,,"$VNYMR,-083.473,+006.616,+000.073,+00.0255,+00.0543,+00.2641,+01.098,-00.006,-09.554,-00.000419,+00.000283,+00.000123*69"
413,16.520056410001416,vn200,VNYMR,-83.472,6.615,0.073,0.0251,0.055,0.2622,1.127,-0.018,-9.551,0.000731,-0.001077,-0.000476,,,,,,,,,,"$VNYMR,-083.472,+006.615,+000.073,+00.0251,+00.0550,+00.2622,+01.127,-00.018,-09.551,+00.000731,-00.001077,-00.000476*65"
414,16.56005610900138,vn200,VNYMR,-83.471,6.615,0.075,0.0253,0.055,0.2641,1.118,-0.003,-9.484,0.000168,0.00039,-0.000429,,,,,,,,,,"$VNYMR,-083.471,+006.615,+000.075,+00.0253,+00.0550,+00.2641,+01.118,-00.003,-09.484,+00.000168,+00.000390,-00.000429*65"
415,16.600056141000096,vn200,VNYMR,-83.472,6.616,0.076,0.0262,0.0551,0.266,1.124,-0.023,-9.542,0.000625,-0.000101,-0.001662,,,,,,,,,,"$VNYMR,-083.472,+006.616,+000.076,+00.0262,+00.0551,+00.2660,+01.124,-00.023,-09.542,+00.000625,-00.000101,-00.001662*6E"
416,16.640055099000165,vn200,VNYMR,-83.471,6.617,0.077,0.0253,0.0541,0.2662,1.112,-0.023,-9.54,0.000811,0.001614,-0.000768,,,,,,,,,,"$VNYMR,-083.471,+006.617,+000.077,+00.0253,+00.0541,+00.2662,+01.112,-00.023,-09.540,+00.000811,+00.001614,-00.000768*6C"
417,16.680057927000234,vn200,VNYMR,-83.471,6.616,0.077,0.026,0.0543,0.2634,1.129,-0.001,-9.534,-0.000728,0.000618,0.000491,,,,,,,,,,"$VNYMR,-083.471,+006.616,+000.077,+00.0260,+00.0543,+00.2634,+01.129,-00.001,-09.534,-00.000728,+00.000618,+00.000491*6A"
418,16.720059848001256,vn200,VNYMR,-83.471,6.618,0.077,0.0255,0.0548,0.2629,1.083,-0.015,-9.511,0.000185,-0.000158,7e-06,,,,,,,,,,"$VNYMR,-083.471,+006.618,+000.077,+00.0255,+00.0548,+00.2629,+01.083,-00.015,-09.511,+00.000185,-00.000158,+00.000007*6F"
419,16.760060677001093,vn200,VNYMR,-83.471,6.617,0.076,0.0255,0.0533,0.2638,1.124,-0.022,-9.559,-0.000991,-7e-06,-2.2e-05,,,,,,,,,,"$VNYMR,-083.471,+006.617,+000.076,+00.0255,+00.0533,+00.2638,+01.124,-00.022,-09.559,-00.000991,-00.000007,-00.000022*68"
420,16.800058301001627,vn200,VNYMR,-83.471,6.616,0.078,0.026,0.0531,0.2648,1.08,-0.046,-9.535,-0.001482,-0.000672,0.000523,,,,,,,,,,"$VNYMR,-083.471,+006.616,+000.078,+00.0260,+00.0531,+00.2648,+01.080,-00.046,-09.535,-00.001482,-00.000672,+00.000523*6B"
421,16.84005768499992,vn200,VNYMR,-83.471,6.617,0.078,0.0253,0.055,0.2626,1.099,0.004,-9.532,0.000371,0.000203,0.000358,,,,,,,,,,"$VNYMR,-083.471,+006.617,+000.078,+00.0253,+00.0550,+00.2626,+01.099,+00.004,-09.532,+00.000371,+00.000203,+00.000358*68"
