elapsed_s,roll_deg,pitch_deg,yaw_deg,quat_i,quat_j,quat_k,quat_real,mag_x_uT,mag_y_uT,mag_z_uT
28.878,-0.022,0.004,-0.008,0.09753,0.01465,-0.11884,0.98798,-1.375,6.875,-31.6875
28.971,-0.021,0.003,-0.015,0.09753,0.01465,-0.11890,0.98798,-0.75,8.6875,-32.0
29.063,-0.021,0.003,-0.015,0.09753,0.01465,-0.11890,0.98798,-1.0625,6.875,-31.6875
29.156,-0.021,0.002,-0.029,0.09753,0.01465,-0.11902,0.98798,-0.375,7.1875,-32.0625
29.245,-0.028,0.001,-0.029,0.09747,0.01465,-0.11902,0.98798,-0.6875,6.125,-31.3125
29.336,-0.028,0.007,-0.037,0.09747,0.01471,-0.11908,0.98798,-0.3125,7.25,-29.5625
29.427,-0.020,-0.005,-0.028,0.09753,0.01459,-0.11902,0.98798,-0.375,9.0625,-32.0
29.520,-0.006,-0.004,-0.035,0.09766,0.01459,-0.11908,0.98798,-0.6875,8.375,-30.75
29.612,0.002,-0.010,-0.035,0.09772,0.01453,-0.11908,0.98798,-1.0,5.8125,-31.25
29.706,-0.013,-0.006,-0.043,0.09760,0.01459,-0.11914,0.98798,-1.0625,7.625,-30.375
29.795,0.002,-0.005,-0.050,0.09772,0.01459,-0.11920,0.98798,-0.375,7.5625,-32.0625
29.885,-0.005,-0.005,-0.043,0.09766,0.01459,-0.11914,0.98798,-1.0,7.3125,-29.1875
29.976,-0.010,-0.040,0.032,0.09760,0.01422,-0.11853,0.98804,-0.0625,8.6875,-31.625
30.067,10.377,4.160,23.282,0.18481,0.03827,0.08344,0.97845,1.6875,7.1875,-32.4375
30.159,28.395,-10.148,31.175,0.34766,-0.06134,0.16180,0.92151,1.5625,-9.25,-34.125
30.253,48.585,-7.482,6.664,0.49384,-0.07874,-0.03845,0.86511,-4.375,-27.5,-24.0
30.343,54.594,-2.738,5.101,0.54077,-0.04730,-0.06226,0.83752,-3.625,-32.25,-22.5
30.434,46.528,8.470,-0.554,0.48633,0.03497,-0.14130,0.86157,1.3125,-31.9375,-20.75
30.528,33.350,14.544,-6.684,0.39130,0.09137,-0.19702,0.89423,6.75,-22.1875,-30.6875
30.620,11.667,2.782,-2.075,0.20032,0.02643,-0.13763,0.96967,8.25,-14.9375,-35.4375
30.712,2.984,3.045,5.345,0.12598,0.03455,-0.07086,0.98889,-0.6875,1.1875,-36.375
30.805,0.072,5.490,4.895,0.10242,0.05786,-0.07172,0.99048,2.4375,7.5625,-32.375
30.894,0.312,5.356,5.014,0.10437,0.05646,-0.07092,0.99042,2.4375,6.4375,-32.4375
30.986,0.058,5.481,4.514,0.10242,0.05811,-0.07501,0.99023,2.125,6.125,-29.5625
31.078,0.210,5.381,4.597,0.10364,0.05707,-0.07446,0.99017,2.4375,6.4375,-32.0625
31.170,0.286,5.315,4.593,0.10425,0.05646,-0.07458,0.99017,1.0,6.0625,-32.875
31.261,0.207,5.327,4.405,0.10364,0.05676,-0.07617,0.99005,1.375,7.1875,-32.8125
31.355,0.124,5.327,4.244,0.10297,0.05695,-0.07751,0.99005,2.4375,7.125,-33.6875
31.452,0.086,5.307,4.145,0.10266,0.05688,-0.07837,0.98999,1.75,6.5,-29.5625
31.541,0.433,4.991,4.246,0.10541,0.05383,-0.07794,0.98993,2.0625,7.1875,-32.0
31.632,0.961,4.495,4.314,0.10962,0.04913,-0.07800,0.98969,2.4375,6.875,-29.9375
31.723,1.104,4.379,4.310,0.11078,0.04803,-0.07819,0.98962,2.4375,5.75,-32.0625
31.814,1.171,4.318,4.271,0.11133,0.04749,-0.07861,0.98950,2.4375,7.1875,-32.4375
31.906,1.253,4.266,4.251,0.11200,0.04700,-0.07886,0.98944,1.6875,7.1875,-32.8125
32.001,1.297,4.231,4.214,0.11237,0.04669,-0.07922,0.98938,2.0625,7.9375,-30.75
32.090,-0.000,0.000,0.000,0.11255,0.04651,-0.07928,0.98938,3.125,6.8125,-32.0
32.182,0.025,-0.029,-0.024,0.11273,0.04626,-0.07953,0.98938,2.125,6.5,-29.9375
32.272,0.057,-0.071,-0.046,0.11298,0.04590,-0.07977,0.98932,2.4375,5.75,-31.6875
32.365,0.082,-0.093,-0.071,0.11316,0.04572,-0.08002,0.98932,2.4375,6.8125,-32.0
32.458,0.099,-0.122,-0.087,0.11328,0.04547,-0.08020,0.98926,3.125,6.4375,-32.0
32.551,0.123,-0.137,-0.113,0.11346,0.04535,-0.08044,0.98926,2.0625,5.75,-32.0625
32.639,0.131,-0.145,-0.126,0.11353,0.04529,-0.08057,0.98926,3.125,7.5,-33.25
32.730,0.127,-0.138,-0.056,0.11353,0.04529,-0.07996,0.98926,3.5,7.1875,-30.375
32.820,0.143,-0.146,-0.083,0.11365,0.04523,-0.08020,0.98926,2.4375,6.0,-33.3125
32.911,0.152,-0.155,-0.103,0.11371,0.04517,-0.08038,0.98926,2.75,6.75,-33.25
33.004,0.167,-0.156,-0.123,0.11383,0.04517,-0.08057,0.98920,2.4375,7.1875,-31.125
33.101,0.183,-0.163,-0.136,0.11395,0.04510,-0.08069,0.98920,2.4375,6.875,-29.5
33.189,0.184,-0.165,-0.150,0.11395,0.04510,-0.08081,0.98920,2.8125,6.4375,-32.4375
33.280,0.191,-0.166,-0.163,0.11401,0.04510,-0.08093,0.98914,2.8125,6.875,-29.5
33.373,0.206,-0.167,-0.184,0.11414,0.04510,-0.08112,0.98914,3.125,6.75,-33.25
33.468,0.207,-0.162,-0.206,0.11414,0.04517,-0.08130,0.98914,2.375,8.25,-32.8125
33.559,0.215,-0.169,-0.211,0.11420,0.04510,-0.08136,0.98907,2.0625,8.6875,-32.75
33.650,0.223,-0.171,-0.232,0.11426,0.04510,-0.08154,0.98907,2.4375,6.0625,-32.4375
33.739,0.209,-0.140,-0.137,0.11420,0.04529,-0.08069,0.98914,1.75,5.75,-32.4375
33.832,0.201,-0.133,-0.131,0.11414,0.04535,-0.08063,0.98914,2.125,7.25,-29.125
33.924,0.210,-0.148,-0.143,0.11420,0.04523,-0.08075,0.98914,2.4375,7.1875,-31.625
34.058,0.204,-0.143,-0.165,0.11414,0.04529,-0.08093,0.98914,2.0625,9.0625,-31.9375
34.149,0.232,-0.143,-0.178,0.11438,0.04529,-0.08105,0.98907,2.0625,7.5625,-31.625
34.237,0.240,-0.143,-0.185,0.11444,0.04529,-0.08112,0.98907,2.8125,6.4375,-32.0
34.328,0.248,-0.150,-0.191,0.11450,0.04523,-0.08118,0.98907,2.125,7.25,-29.9375
34.418,0.249,-0.152,-0.212,0.11450,0.04523,-0.08136,0.98907,3.125,7.125,-32.8125
34.512,0.250,-0.159,-0.211,0.11450,0.04517,-0.08136,0.98907,2.75,7.5625,-32.0
34.605,0.236,-0.155,-0.226,0.11438,0.04523,-0.08148,0.98907,2.4375,6.0625,-31.1875
34.698,0.237,-0.156,-0.240,0.11438,0.04523,-0.08160,0.98907,2.4375,7.1875,-32.0
34.786,0.236,-0.150,-0.248,0.11438,0.04529,-0.08167,0.98901,2.4375,8.3125,-32.0
34.877,0.243,-0.150,-0.247,0.11444,0.04529,-0.08167,0.98901,2.5,6.125,-29.125
34.967,0.236,-0.151,-0.255,0.11438,0.04529,-0.08173,0.98901,2.0625,7.5625,-32.0
35.061,0.244,-0.151,-0.261,0.11444,0.04529,-0.08179,0.98901,3.125,7.5625,-30.75
35.154,0.238,-0.154,-0.283,0.11438,0.04529,-0.08197,0.98901,3.125,7.5625,-32.0
35.246,0.239,-0.155,-0.290,0.11438,0.04529,-0.08203,0.98901,2.4375,7.1875,-31.625
35.335,0.224,-0.143,-0.299,0.11426,0.04541,-0.08209,0.98901,2.0625,7.875,-34.0625
35.425,0.197,-0.090,-0.122,0.11414,0.04572,-0.08051,0.98914,2.4375,7.625,-29.125
35.517,0.191,-0.073,-0.032,0.11414,0.04578,-0.07971,0.98920,2.4375,6.0,-33.6875
35.610,0.182,-0.065,-0.012,0.11407,0.04584,-0.07953,0.98920,1.75,6.4375,-31.625
35.702,0.190,-0.065,-0.026,0.11414,0.04584,-0.07965,0.98920,2.8125,6.8125,-31.625
35.795,0.198,-0.066,-0.033,0.11420,0.04584,-0.07971,0.98920,2.8125,6.8125,-31.625
35.898,0.198,-0.066,-0.040,0.11420,0.04584,-0.07977,0.98920,2.5,6.875,-29.125
35.994,0.220,-0.071,-0.032,0.11438,0.04578,-0.07971,0.98920,2.4375,6.4375,-30.375
36.084,0.206,-0.048,0.057,0.11432,0.04590,-0.07892,0.98926,1.375,6.8125,-32.4375
36.175,0.220,-0.047,0.058,0.11444,0.04590,-0.07892,0.98920,2.5,6.125,-28.75
36.270,0.227,-0.034,0.036,0.11450,0.04602,-0.07910,0.98920,2.8125,6.0625,-31.625
36.363,0.242,-0.039,0.044,0.11462,0.04596,-0.07904,0.98920,2.4375,5.6875,-32.8125
36.454,0.235,-0.008,0.139,0.11462,0.04614,-0.07819,0.98926,2.4375,6.4375,-32.4375
36.545,0.242,-0.008,0.132,0.11469,0.04614,-0.07825,0.98926,2.0625,6.0,-33.3125
36.632,0.248,-0.002,0.125,0.11475,0.04620,-0.07831,0.98920,2.4375,8.3125,-32.0
36.724,0.248,0.005,0.124,0.11475,0.04626,-0.07831,0.98920,3.1875,5.75,-29.9375
36.818,0.243,0.021,0.207,0.11475,0.04633,-0.07758,0.98926,2.75,6.375,-33.6875
36.910,0.231,0.030,0.290,0.11469,0.04633,-0.07684,0.98932,2.8125,4.1875,-33.75
